undiacritized	diacritized
Lati mu imugbooro ba ẹka iṣẹ aṣọ adirẹ nipinlẹ Ogun, Gomina Dapọ Abiọdun loun ti ṣetan ati paarọ yunifọọmu awọn ọmọleewe ijọba si aṣọ adirẹ, bẹrẹ lati saa ọdun to n bọ.	Láti mú ìmúgbòòrò bá ẹ̀ka iṣẹ́ aṣọ àdìrẹ nìpínlẹ̀ Ògùn, Gómìnà Dàpọ̀ Abíọ́dún lóun ti ṣetán àti pààrọ̀ yúnífọ́ọ̀mù àwọn ọmọléèwé ìjọba sí aṣọ adìrẹ, bẹ̀rẹ̀ láti sáà ọdún tó ń bọ̀.
Ọjọ Alamisi, Tọsde oni lo sọrọ naa nibi ifilọlẹ kan ti wọn pe ni Ogun Adirẹ Digital Market, gbọngan aṣa ati iṣe to wa ni Kutọ leto naa ti waye lAbẹokuta.	Ọjọ́ Àlàmísì, Tọ́sde òní ló sọ̀rọ̀ náà níbi ìfilọ́lẹ̀ kan tí wọn pè ní Ògùn Adìrẹ Digital Market, gbọ̀ngàn àṣà àti ìṣe tó wà ní Kútọ̀ lètò náà ti wáyé l’Ábẹ́òkúta.
Bakan naa ni gomina naa tun ke sijọba apapọ pe ki wọn bẹrẹ si i ṣamulo adirẹ gẹgẹ bii aṣọ igba fun awọn elere idaraya ati awọn to n ṣoju orilẹ-ede wa kaakiri agbaye, yatọ si aṣọ oyinbo ti wọn n lo.	Bákan náà ni gómìnà náà tún ké síjọba àpapọ̀ pé kí wọ́n bẹ̀rẹ̀ sí í ṣàmúlò àdìrẹ gẹ́gẹ́ bíi aṣọ ìgbà fún àwọn eléré ìdárayá àti àwọn tó ń ṣojú orílẹ̀-èdè wa káàkiri àgbáyé, yàtọ̀ sí aṣọ òyìnbó tí wọ́n ń lò.
O ni, lati saa ọdun to n bọ lọ, ijọba oun maa bẹrẹ si i paarọ aṣọ yunifọọmu awọn ọmọleewe alakọọbẹrẹ, ati girama to jẹ tijọba nipinlẹ naa si adirẹ.	Ó ní, láti sáà ọdún tó ń bọ̀ lọ, ìjọba òun máa bẹ̀rẹ̀ sí í pààrọ̀ aṣọ yúnífọ́ọ̀mù àwọn ọmọléèwé alákọ̀ọ́bẹ̀rẹ̀, àti girama tó jẹ́ tìjọba nìpínlẹ̀ náà sí àdìrẹ.
O tun ni, bayii, lọjọọjọ Fraide, iyẹn ọjọ Jimọ, adirẹ lawọn oṣiṣẹ ijọba agba n wọ wa sibi eto tabi ayẹyẹ tijọba ba fẹẹ ṣe, paapaa to ba bọ si ọjọ Fraide, ṣugbọn o maa kan awọn ọmọleewe naa lati ọdun to n bọ.	Ó tún ní, báyìí, lọ́jọọjọ́ Fráìde, ìyẹn ọjọ́ Jímọ̀, àdìrẹ làwọn òṣìṣẹ́ ìjọba àgbà ń wọ̀ wá síbi ètò tàbí ayẹyẹ tìjọba bá fẹ́ẹ́ ṣe, pàápàá tó bá bọ́ sí ọjọ́ Fráìde, ṣùgbọ́n ó máa kan àwọn ọmọléèwé náà láti ọdún tó ń bọ̀.
Nitori awọn ayederu ejẹẹnti, ileeṣẹ ọlọpaa Panti ṣeleri ajọṣepọ pẹlu LASRERA	Nítorí àwọn ayédèrú éjẹ́ẹ̀ntì, iléeṣẹ́ ọlọ́pàá Pàǹtí ṣèlérí àjọṣepọ̀ pẹ̀lú LASRERA
Ajọ to n ṣakoso awọn abanikọle ati abaniwale nipinlẹ Eko, iyẹn Lagos State Real Estate Regulatory Authority (LASRERA) ti pe fun ajọṣepọ laarin ajọ to n ṣakoso awọn ileeṣẹ to n lo patako ipolongo ti a mọ si Lagos State Signage and Advertisement Agency, LASAA ati ileeṣẹ ọlọpaa ọtẹlẹmuyẹ to wa ni Panti, lEkoo.	Àjọ tó ń ṣàkóso àwọn abánikọ́lé àti abániwálé nìpínlẹ̀ Èkó, ìyẹn Lagos State Real Estate Regulatory Authority (LASRERA) ti pè fún àjọṣepọ̀ láàrin àjọ tó ń ṣàkóso àwọn iléeṣẹ́ tó ń lo pátákó ìpolongo tí a mọ̀ sí Lagos State Signage and Advertisement Agency, LASAA àti iléeṣẹ́ ọlọ́pàá ọ̀tẹlẹ̀múyẹ́ tó wà ní Pàǹtí, l’Ékòó.
Ajọ LASRERA pe ipe ọhun lati mu ko rọrun fun ileeṣẹ naa lati ṣakoso awọn abanikọle ati abaniwale, ati lati le gbogbo awọn ayederu to wa lẹka naa nipinlẹ Eko.	Àjọ LASRERA pe ìpè ọ̀hún láti mú kó rọrùn fún iléeṣẹ́ náà láti ṣàkóso àwọn abánikọ́lé àti abániwálé, àti láti lé gbogbo àwọn ayédèrú tó wà lẹ́ka náà nìpínlẹ̀ Èkó.
Arabinrin Tokẹ Benson-Awoyinka to jẹ olugbaninimọran fun gomina lori ọrọ ile igbe lo sọrọ yii di mimọ, ninu atẹjade ti wọn fi ranṣẹ si ileeṣẹ Aṣejere lọjọ Fraide.	Arábìnrin Tókẹ́ Benson-Awóyìnkà tó jẹ́ olùgbaninímọ̀ràn fún gómìnà lórí ọ̀rọ̀ ilé ìgbé ló sọ̀rọ̀ yìí di mímọ̀, nínú àtẹ̀jáde tí wọn fi ránṣẹ́ sí iléeṣẹ́ Àṣejèrè lọ́jọ́ Fráìde.
Ọjọru, Wẹsde to kọja yii ni lo ṣabẹwo sọfiisi awọn ajọ mejeeji naa.	Ọjọ́rú, Wẹ́sde tó kọjá yìí ni ló ṣàbẹ̀wò sọ́fíìsì àwọn àjọ méjèèjì náà.
Awoyinka ni, idi tileeṣẹ oun si ṣabẹwo naa ni lati jẹ ko di mimọ fawọn araalu pe gbogbo awọn to yẹ lati fọwọsowọpọ pẹlu ajọ LASRERA ni wọn ti ṣetan lati gbogun ti awọn ayederu to wa lẹka naa, nitori irọrun awọn araalu Eko.	Awóyínká ní, ìdí tíléeṣẹ́ òun sì ṣàbẹ̀wò náà ni láti jẹ́ kó di mímọ̀ fáwọn aráàlú pé gbogbo àwọn tó yẹ láti fọwọ́sowọ́pọ̀ pẹ̀lú àjọ LASRERA ni wọ́n ti ṣetán láti gbógun ti àwọn ayédèrú tó wà lẹ́ka náà, nítorí ìrọ̀rùn àwọn aráàlú Èkó.
Iṣẹ LASAA ni lati gbogun ti awọn ejẹẹnti ti wọn n lo patako ipolongo siwaju ileeṣẹ wọn, tabi siwaju ṣọọbu wọn, ṣugbọn to jẹ pe ayederu iṣẹ ẹjẹẹnti ni wọn n ṣe.	Iṣẹ́ LASAA ni láti gbógun ti àwọn éjẹ́ẹ́ǹtì tí wọ́n ń lo pátákó ìpolongo síwájú iléeṣẹ́ wọn, tàbí síwájú ṣọ́ọ̀bù wọn, ṣùgbọ́n tó jẹ́ pé ayédèrú iṣẹ́ ẹ́jẹ́ẹ́ǹtì ni wọ́n ń ṣe.
Bakan naa lo sọ pe iṣẹ awọn ọlọpaa ọtẹlẹmuyẹ Panti ni lati fọwọ ofin mu awọn ayederu ejẹẹnti to wa kaakiri ipinlẹ Eko.	Bákan náà ló sọ pé iṣẹ́ àwọn ọlọ́pàá ọ̀tẹlẹ̀múyẹ́ Pàǹtí ni láti fọwọ́ òfin mú àwọn ayédèrú éjẹ́ẹ́ǹtì tó wà káàkiri ìpínlẹ̀ Èkó.
Ninu ọrọ tiẹ, adari awọn ọlọpaa ọtẹlẹmuyẹ to wa ni Panti, Abilẹkọ Yetunde Longẹ, sọ pe o ṣe pataki fun ijọba lati ṣeto kootu ti yoo maa ṣedajọ iru awọn alayederu bẹẹ, nitori iṣẹ to wa lọwọ awọn ileẹjọ majisreeti ti pọ ju.	Nínú ọ̀rọ̀ tiẹ̀, adarí àwọn ọlọ́pàá ọ̀tẹlẹ̀múyẹ́ tó wà ní Pàǹtí, Abilẹ́kọ Yétúndé Lóngẹ́, sọ pé ó ṣe pàtàkì fún ìjọba láti ṣètò kóòtù tí yóò máa ṣèdájọ́ irú àwọn aláyédèrú bẹ́ẹ̀, nítorí iṣẹ́ tó wà lọ́wọ́ àwọn iléẹjọ́ májísréètì ti pọ̀ jù.
O ni, ojoojumọ lawọn eeyan maa n waa fẹjọ awọn ayederu ejẹẹnti yii n hu, ṣugbọn asiko tawọn ọmọọṣẹ oun n lo lati pari iwadii kii ṣe kekere rara.	Ó ní, ojoojúmọ́ láwọn èèyàn máa ń wáá fẹjọ́ àwọn ayédèrú éjẹ́ẹ́ǹtì yìí ń hu, ṣùgbọ́n àsìkò táwọn ọmọọṣẹ́ òun ń lo láti parí ìwádìí kìí ṣe kékeré rárá.
Ṣugbọn bi wọn ba da kootu ọtọ ti yoo maa da ẹjọ wọn silẹ, iṣẹ naa yoo ya kiakia.	Ṣùgbọ́n bí wọ́n bá dá kóòtù ọ̀tọ̀ tí yóò máa dá ẹjọ́ wọn sílẹ̀, iṣẹ́ náà yóò yá kíákíá.
Bakan naa ni Ọnarebu Kayọde Omiyale to jẹ alaga kansu Yaba ṣeleri ati fọwọsowọpọ pẹlu ajọ LASRERA, ohun kan naa ni ọga agba LASAA, Ọgbẹni Adedamọla Doceme sọ.	Bákan náà ni Ọnarébù Káyọ̀dé Omíyalé tó jẹ́ alága kánsù Yábà ṣèlérí àti fọwọ́sowọ́pọ̀ pẹ̀lú àjọ LASRERA, ohun kan náà ni ọ̀gá àgbà LASAA, Ọ̀gbẹ́ni Adédàmọ́lá Doceme sọ.
Ṣe bi o ti mọ lasiko taa wa yii fun gbogbo awọn oniṣowo to ba gbọn  Iyalaje Jẹnẹra	Ṣe bí o ti mọ lásìkò táa wà yìí fún gbogbo àwọn oníṣòwò tó bá gbọ́n – Ìyálájé Jẹ́nẹ́rà
Alaaja Oluwatoyin Balikis Afọlabi ni Iyalaje Jẹnẹra ti gbogbo ipinlẹ Eko, gbajumọ oniṣowo ni wọn.	Àlàájà Olúwatóyìn Balikis Afọlábí ni Ìyálájé Jẹ́nẹ́rà tí gbogbo ìpínlẹ̀ Èkó, gbajúmọ̀ oníṣòwò ni wọ́n.
Wọn ti ba SINMISỌLA AJADI sọrọ nipa bi awọn oniṣowo ṣe le bori ipenija asiko Korona yii.	Wọ́n ti bá SINMISỌ́LÁ ÀJÀDÍ sọ̀rọ̀ nípa bí àwọn oníṣòwò ṣe lè borí ìpèníjà àsìkò Kòrónà yìí.
Ohun ti wọn sọ ree.	Ohun tí wọ́n sọ rèé.
Kin ni iriri yin gẹgẹ bi oniṣowo lasiko Korona yii?	Kín ni ìrírí yín gẹ́gẹ́ bí oníṣòwò lásìkò Kòrónà yìí?
Nnkan teeyan ba ni ko mọ lilo ẹ lasiko yii ni.	Nǹkan téèyàn bá ní kò mọ lílò ẹ̀ lásìkò yìí ni.
Bi eto ọrọ-aje ba ṣe gba ni ki a ṣe ṣe e si.	Bí ètò ọrọ̀-ajé bá ṣe gbà ni kí a ṣe ṣe é sí.
Ojulowo owo ọja, a gbọdọ di i mu daadaa, lai si ojulowo owo, ọrọ aje ko le rọrun.	Ojúlówó owó ọjà, a gbọdọ̀ dì í mú dáadáa, láì sí ojúlówó owó, ọrọ̀ ajé kó le rọrùn.
Awọn ti Korona ka owo ọja mọ lọwọ lasiko yii, kin ni ẹ ri si eyi, fun apẹẹrẹ awọn ti owo ọja wọn ko ju ẹgbẹrun marun si mẹwaa lọ, ti Koro si ka owo ọhun mọ wọn lọwọ, to jẹ pe pupọ wọn lo ti fi gbogbo owo jẹun tan, ibo ni ki wọn ti bẹrẹ?	Àwọn tí Kòrónà ká owó ọjà mọ́ lọ́wọ́ lásìkò yìí, kín ni ẹ rí sí èyí, fún àpẹẹrẹ àwọn tí owó ọjà wọn kò ju ẹgbẹ̀rún márùn sí mẹ́wàá lọ, tí Kòró sì ká owó ọ̀hún mọ́ wọn lọ́wọ́, tó jẹ́ pé púpọ̀ wọn ló ti fi gbogbo owó jẹun tán, ibo ni kí wọ́n ti bẹ̀rẹ̀?
Ọrọ wọn da bii ọmọ to n rako ni.	Ọ̀rọ̀ wọn dà bíi ọmọ to n rákò ni.
A nilati mọ iwọn ara wa lasiko yii, pẹlu owo iwọnba naa to ku si wọn lọwọ, wọn si le bẹrẹ nibi kan, nitori lasiko yii, ijọba gan-an ko raye ti ẹnikankan.	A níláti mọ ìwọ̀n ara wa lásìkò yìí, pẹ̀lú owó ìwọ̀nba náà tó kù sí wọn lọ́wọ́, wọ́n sì le bẹ̀rẹ̀ níbì kan, nítorí lásìkò yìí, ìjọba gan-an kò ráyè ti ẹnìkankan.
Awọn ti Korona ka owo ọja mọ wọn lọwọ sile, gbọdọ kọ bi a ti n moju kuro, nitori ko sẹni to fẹẹ ya eeyan lowo lasiko yii, ayafi tijọba ba ni owo iranwọ fun wọn.	Àwọn tí Kòrónà ká owó ọjà mọ́ wọn lọ́wọ́ sílé, gbọdọ̀ kọ́ bí a ti ń mójú kúrò, nítorí kò sẹ́ni tó fẹ́ẹ́ yá èèyàn lówó lásìkò yìí, àyàfi tíjọba bá ní owó ìrànwọ́ fún wọn.
Ọrọ wọn da bii ọmọ to n rako ni.	Ọ̀rọ̀ wọn dà bíi ọmọ tó ń rákò ni.
A nilati mọ iwọn ara wa lasiko yii, pẹlu owo iwọnba naa to ku si wọn lọwọ, wọn si le bẹrẹ nibi kan, nitori lasiko yii, ijọba gan-an ko raye ti ẹnikankan	A níláti mọ ìwọ̀n ara wa lásìkò yìí, pẹ̀lú owó ìwọ̀nba náà tó kù sí wọn lọ́wọ́, wọ́n sì le bẹ̀rẹ̀ níbì kan, nítorí lásìkò yìí, ìjọba gan-an kò ráyè ti ẹnìkankan
Njẹ iha tawọn ọmọ Naijiria kọ sira wọn lasiko igbele tẹ yin lọrun, njẹ a tiẹ nifẹẹ ara wa?	Ǹjẹ́ ìhà táwọn ọmọ Nàíjíríà kọ síra wọn lásìkò ìgbélé tẹ́ yín lọ́rùn, ǹjẹ́ a tiẹ̀ nífẹ̀ẹ́ ara wa?
Awa araalu gbiyanju lati ran ara wa lọwọ lasiko yii, ijọba nikan ko le sọkalẹ lati Abuja wa ṣe e, awọn ti wọn ko ohun ti wọn pin fun awọn araalu, ṣe la gbọ pe ẹlomii n tun un ta, ṣe ni ẹlomii paapaa ko ounjẹ lọ fun ẹbi wọn.	Àwa aráàlú gbìyànjú láti ran ara wa lọ́wọ́ lásìkò yìí, ìjọba nìkan kò le sọ̀kalẹ̀ láti Àbújá wá ṣe é, àwọn tí wọ́n kó ohun tí wọ́n pín fún àwọn aráàlú, ṣe la gbọ́ pé ẹlòmíì ń tún ùn tá, ṣe ni ẹlòmíì pàápàá kó ouńjẹ lọ fún ẹbí wọn.
Eyi fihan pe awa naa lota ara wa.	Èyí fihàn pé àwa náà lóta ara wa.
Awọn kan ni kijọba ma tiẹ dabaa ati gba owo ori abi owo kankan lọwọ awọn araalu, paapaa awọn oniṣẹ ọwọ ati oniṣowo lasiko yii titi wahala Korona maa fi pari.	Àwọn kan ní kíjọba má tiẹ̀ dábàá àti gba owó orí àbí owó kankan lọ́wọ́ àwọn aráàlú, pàápàá àwọn oníṣẹ́ ọwọ́ àti oníṣòwò lásìkò yìí títí wàhálà Kòrónà máa fi parí.
Ṣe ẹ fọwọ si i?	Ṣé ẹ fọwọ́ sí i?
Taa ba ni kijọba ma gba owo to yẹ lọwọ oniṣowo lasiko yii iyẹn ko daa to, ka ma gbagbe pe owo yii ni wọn fi n tọju ilu, owo yẹn naa nijọba fi n ṣiṣẹ siluu.	Táa bá ní kíjọba má gba owó tó yẹ lọ́wọ́ oníṣòwò lásìkò yìí ìyẹn kò dáa tó, ká má gbàgbé pé owó yìí ni wọ́n fí ń tọ́jú ìlú, owó yẹn náà nìjọba fí ń ṣiṣẹ́ sílùú.
Ẹ wo awọn onina manamana, wọn bọ sita lati waa polongo pe awọn maa gbowo ina nitori ijọba naa lawọn nnkan ti wọn n gbaju mọ bayii.	Ẹ wo àwọn oníná mànàmáná, wọ́n bọ́ síta láti wáá polongo pé àwọn máa gbowó iná nítorí ìjọba náà làwọn nǹkan tí wọ́n ń gbájú mọ́ báyìí.
Nitori naa, emi o ba ni kijọba kan ba wa din owo ti won a fẹẹ gba lọwọ awa araalu, paapaa awọn oniṣowo ku.	Nítorí náà, èmi ò bá ní kíjọba kàn bá wa dín owó tí wón á fẹ́ẹ́ gbà lọ́wọ́ awà aráàlú, pàápàá àwọn oníṣòwò kù.
Kin ni imọran yin fawọn oniṣowo lasiko yii, paapaa nipa inawo ati kikowo lori nnkan ti ko tọ?	Kín ni ìmọ̀ràn yín fáwọn oníṣòwò lásìkò yìí, pàápàá nípa ìnáwó àti kíkówó lórí nǹkan tí kò tọ́?
Imọran ti mo le fun awọn oniṣowo lasiko yii ni pe ka ṣọra nipa owo nina, bo tiẹ jẹ pe eto ọrọ aje ko tii bẹrẹ ni pẹrẹu, ijọba si n ṣilẹkun diẹdiẹ ni.	Ìmọ̀ràn tí mo lè fún àwọn oníṣòwò lásìkò yìí ni pé ká ṣọ́ra nípa owó níná, bó tiẹ̀ jẹ́ pé ètò ọ̀rọ̀ ajé kò tíì bẹ̀rẹ̀ ní pẹrẹu, ìjọba sì ń ṣílẹ̀kùn díẹ̀díẹ̀ ni.
Ṣugbọn emi o ba gba wọn niyanju pe ni kete ti eto ọrọ aje ba ti bẹrẹ, ka sa fun awọn nnkan kan, paapaa awọn nnkan to ni i ṣe pẹlu inawo.	Ṣùgbọ́n èmi ò bá gbà wọ́n níyànjú pé ní kété tí ètò ọrọ̀ ajé bá ti bẹ̀rẹ̀, ká sá fún àwọn nǹkan kan, pàápàá àwọn nǹkan tó ní í ṣe pẹ̀lú ìnáwó.
Asiko ayẹyẹ kọ la wa yii, asiko taa n kowo lori aṣọ pati kọ la wa yii.	Àsìkò ayẹyẹ kọ́ la wà yìí, àsìkò táa ń kówó lórí aṣọ pàtì kọ́ la wà yìí.
Bakan naa, mo rọ awọn oniṣowo wa, awọn eto idokowo kan wa tawọn ileefowopamọ maa n ṣe, ẹ maa ko owo fun banki, wọn a ba yin tọju owo yẹn fun saa kan, ẹ o nile gba owo yii o; titi digba ti akoko maa fi to.	Bákan náà, mo rọ àwọn oníṣòwò wa, àwọn ètò ìdókòwò kan wà táwọn iléèfowópamọ́ máa ń ṣe, ẹ máa kó ówó fún báǹkì, wọ́n á bá yín tọ́jú owó yẹn fún sáà kan, ẹ ò níle gba owó yìí o; títí dìgbà tí àkókò máa fi tó.
O lee jẹ oṣu mẹfa, o lee jẹ ọdun kan.	Ó leè jẹ́ oṣù mẹ́fà, ó leè jẹ́ ọdún kan.
Ṣugbọn laarin igba ti a ko owo yẹn si wọn lọwọ, o niye ere ti wọn maa fun yin lori owo ti ẹ fi pamọ si wọn lọwọ.	Ṣùgbọ́n láàrín ìgbà tí a kó owó yẹn sí wọn lọ́wọ́, ó níye èrè tí wọ́n máa fún yín lórí owó ti ẹ̀ fi pamọ́ sí wọn lọ́wọ́.
Ere owo yẹn loniṣowo lee na lati ṣe nnkan to ba fẹẹ ṣe, kii ṣe owo ọja.	Èrè owó yẹn loníṣòwò leè ná láti ṣe nǹkan tó bá fẹ́ẹ́ ṣe, kìí ṣe owó ọjà.
Awọn banki n pe ni Fixed Deposit.	Àwọn báǹkì ń pè ní Fixed Deposit.
Ohun tawọn oniṣowo nla maa n ṣe niyẹn, ere ori owo ti wọn fi pamọ sọwọ banki ni wọn maa n na.	Ohun táwọn oníṣòwò ńlá máa ń ṣe nìyẹn, èrè orí owó tí wọ́n fi pamọ́ sọ́wọ́ báǹkì ni wọ́n máa ń ná.
Gbogbo awọn banki ilẹ wa lo n ṣe e, ṣugbọn ere tonikaluku n fun onibaara wọn lo yatọ, ẹ jẹ kawa naa gbiyanju ẹ wo.	Gbogbo àwọn báǹkì ilẹ̀ wa ló ń ṣe é, ṣùgbọ́n èrè tóníkálukú ń fún oníbàárà wọn ló yàtọ̀, ẹ jẹ́ káwa náà gbìyànjú ẹ̀ wò.
Ohun to dara ni fun oniṣowo.	Ohun tó dára ni fún oníṣòwò.
Kin ni imọran yin fawọn ontaja lasiko yii?	Kín ni ìmọ̀ràn yín fáwọn òntajà lásìkò yìí?
Imọran mi ni pe lasiko yii ki onikaluku mọ iwọn ara ẹ, ka ma lọọ maa kowo tabi ra ohun ti ko ṣe pataki lasiko yii.	Ìmọ̀ràn mi ni pé lásìkò yìí kí oníkálùkù mọ ìwọ̀n ara ẹ̀, ká ma lọọ máa kówó tàbí ra ohun tí kò ṣe pàtàkì lásìkò yìí.
Ki a dẹ mojuto ara wa, ka tọju ayika wa, ka tẹle ofin ati ilana ijọba nipa bibo imu wa, fifọwọ wa loorekoore pẹlu ọṣẹ ati omi.	Kí á dẹ̀ mójútó ara wa, ká tọ́jú àyíká wa, ká tẹ̀lé òfin àti ìlànà ìjọba nípa bíbo imú wa, fífọwọ́ wa lóòrèkóòrè pẹ̀lú ọṣẹ àti omi.
Ki a dẹ tọju ara wa ki Ọlọrun maa jẹ ki a rogun aarun, ki ogun Korona le tete kasẹ nilẹ wa lagbara Ọlọrun.	Kí á dẹ̀ tọ́jú ara wa kí Ọlọ́run máà jẹ́ kí á rógun ààrùn, kí ogun Kòrónà le tètè kásẹ̀ nílẹ̀ wa lágbára Ọlọ́run.
Ẹ ma talẹ yin mọ o, Sanwo-Olu kilọ fawọn eeyan Lekki-Ẹpẹ	Ẹ má talẹ̀ yín mọ́ o, Sanwó-Olú kìlọ̀ fáwọn èèyàn Lékkí-Ẹ̀pẹ́
Gomina Babajide Sanwo-Olu ti rọ gbogbo awọn ọmọ Ibẹju Lekki si Ẹpẹ pe ki wọn ma ṣe talẹ wọn mọ, nitori awọn idagbasoke to n bọ lagbegbe naa laipẹ, ati lọjọ iwaju.	Gómìnà Babájídé Sanwó-Olú ti rọ gbogbo àwọn ọmọ Ìbẹ̀jù Lékkí sí Ẹ̀pẹ́ pé kí wọ́n má ṣe talẹ̀ wọn mọ́, nítorí àwọn ìdàgbàsókè tó ń bọ̀ lágbègbè náà láìpẹ́, àti lọ́jọ́ iwájú.
Gomina ni, kii ṣe ohun to bojumu lati ta ọjọ ọla awọn ọmọ agbegbe naa.	Gómìnà ní, kìí ṣe ohun tó bójúmu láti ta ọjọ́ ọ̀la àwọn ọmọ agbègbè náà.
